timestamp,choppy_3,choppy_7,choppy_14,continuous_index,local_index,direction
2025-06-06 11:33:00,46.497352071792726,20.836784694555742,10.165144333328632,80,22,1
2025-06-06 11:36:00,0.0,20.836784694555742,7.867936874585282,81,23,1
2025-06-06 11:39:00,26.185950714291486,35.620718710802215,13.198148079602143,82,24,0
2025-06-06 12:27:00,83.40437671464697,51.986003165129944,18.661075664074,83,25,1
2025-06-06 12:39:00,46.497352071792726,40.518693052042764,18.661075664074,84,26,1
2025-06-06 12:42:00,0.0,26.251244129333656,18.661075664074,85,27,1
2025-06-06 12:45:00,-26.185950714291486,20.836784694555742,18.661075664074,86,28,1
2025-06-06 12:54:00,-26.185950714291486,20.836784694555742,18.661075664074,87,29,1
2025-06-06 12:57:00,-26.185950714291486,12.915006810715926,18.661075664074,88,30,1
2025-06-06 13:18:00,26.185950714291486,12.915006810715926,24.321331672850356,89,31,0
